model,mae,rmse,mape,wape,forecast_bias,n_test_weeks,evaluation_level
Last Week Baseline,2664538.4899999998,4856044.92572316,5.054679201886051,5.312165575825803,0.07058631822270567,14,company_week
Rolling 4-Week Average Baseline,2091545.9812500004,3762620.5883714566,3.8715993959583797,4.169817251111675,-0.31074448796389315,14,company_week
Previous Year Same Week Baseline,4465679.786428571,8348757.186414879,8.685983216127761,8.903016609877149,3.451124274622415,14,company_week
